Timestamp_Epoch,Timestamp_Seconds,Cart_X,Cart_Y,Cart_Z,Yaw_angle,Cable_X,Cable_Y,Unused,Cable_Lock,Yaw_angle_corrected,Rot_X,Rot_Y,CCOG_X,CCOG_Y,CCOG_Z
1759745217.822,120657.822,619453.79,5806092.67,41.42,99.3,7.900000000000005,3.600000000000005,,1,279.3,4.829350765781068,-7.21438640364168,619458.6193507658,5806085.455613596,41.42
1759745218.023,120658.023,619453.77,5806092.62,41.4,104.3,8.300000000000006,2.600000000000004,,1,284.3,4.569532707256634,-7.4006331375978895,619458.3395327072,5806085.219366862,41.4
1759745218.023,120658.023,619453.77,5806092.62,41.4,105.1,6.700000000000003,2.700000000000004,,1,285.1,4.352156311279658,-5.7653044535556575,619458.1221563113,5806086.854695546,41.4
1759745218.241,120658.241,619453.72,5806092.64,41.42,103.29999999999998,4.600000000000007,3.499999999999992,,1,283.29999999999995,4.464354845785079,-3.6714487346162548,619458.1843548458,5806088.968551265,41.42
1759745218.443,120658.443,619453.86,5806092.67,41.4,102.6,4.800000000000007,2.500000000000004,,1,282.6,3.4868794635502796,-4.139042353814636,619457.3468794635,5806088.530957646,41.4
1759745218.645,120658.645,619453.91,5806092.67,41.42,103.29999999999998,3.699999999999999,1.599999999999996,,1,283.29999999999995,2.4082702240393195,-3.232682249774262,619456.318270224,5806089.43731775,41.42
1759745218.849,120658.849,619454.11,5806092.59,41.4,103.6,4.800000000000007,2.1999999999999904,,1,283.6,3.2669963441652268,-4.148100153951333,619457.3769963442,5806088.441899846,41.4
1759745219.055,120659.055,619454.19,5806092.57,41.41,104.79999999999998,3.699999999999999,3.400000000000005,,1,284.79999999999995,4.2323488256175885,-2.7087309608548145,619458.4223488256,5806089.861269039,41.41
1759745219.258,120659.258,619454.36,5806092.5,41.41,103.2,4.800000000000007,3.5999999999999988,,1,283.2,4.600968226874524,-3.851115601392817,619458.9609682269,5806088.648884399,41.41
1759745219.461,120659.461,619454.55,5806092.49,41.41,101.1,5.200000000000007,3.799999999999999,,1,281.1,4.730026349105252,-4.3711383799612324,619459.2800263491,5806088.11886162,41.41
1759745219.662,120659.662,619454.66,5806092.5,41.41,101.29999999999998,4.500000000000012,3.3000000000000047,,1,281.29999999999995,4.117786022295157,-3.7661436874594654,619458.7777860223,5806088.733856313,41.41
1759745219.881,120659.881,619454.86,5806092.46,41.4,101.5,5.200000000000007,3.299999999999992,,1,281.5,4.270464784218156,-4.4376942804515735,619459.1304647842,5806088.02230572,41.4
1759745220.084,120700.084,619454.99,5806092.37,41.39,103.0,4.400000000000019,4.4,,1,283.0,5.277012924168045,-3.297443645942048,619460.2670129242,5806089.072556354,41.39
